ID	Shop	Category	Comments		Category	Explain on Primairy Category	Explain on Secondary Category
634	Stonewrit Merge	Merge Shop					
635	Fighter Awe Enhancements	Enhancement Shop					
636	Wizard Awe Enhancements	Enhancement Shop					
637	Thief Awe Enhancements	Enhancement Shop					
638	Healer Awe Enhancements	Enhancement Shop					
639	Lucky Awe Enhancements	Enhancement Shop					
640	Artist Showcase: Jemini	Normal Shop					
641	Lore's Defender	AC Shop					
642	Chaos War Merge	Merge Shop					
643	Chaos Destroyer	Normal Shop					
644	Golden Fury	Badge Shop					
645		No Shop					
646	Chaos 100%	Normal Shop					
647	Pie-rate shop	Item Shop					
648	Artist Showcase: Dage	Member Shop					
649	Femme Fatalies	Normal Shop					
650	Artist Showcase: Aegis	Member Shop					
651	Loremaster Rep Shop	Reputation Shop					
652	Mort's Shop	Normal Shop					
653	AQW Guide Shop	Item Shop					
654	Artist Showcase: Tyronius	Normal Shop					
655	Grim Gift Shop	Merge Shop					
656	Hero of Steel	Rare Shop					
657	MQ t-shirt	Promo Shop					
658	Summer Seasonal Shop Preview	Preview Shop					
659	Artist Showcase: Beleen	Normal Shop					
660	Aeneas' Shop	Normal Shop					
661	Sybil's Shop	Normal Shop					
662	Shadowfire Emperor	Badge Shop					
663	Legion Champion	Rare Shop					
664	Summer Seasonal Shop	Item Shop					
665	AQWorlds War 3 	Merge Shop					
666	Artist Showcase: Diozz	Normal Shop					
667	Trigoras Challenge	Merge Shop					
668	Cysero Merge shop	Merge Shop					
669	Meme Moglin	Normal Shop					
670	Charon's Purge Merge	Merge Shop					
671	Ninja Warrior	Rare Shop					
672	Building Shop	Guild Shop	No Buying!				
673	Shadowfire Emissary	Badge Shop					
674	Living Dungeon Merge	Merge Shop					
675	Guiding Blade	Item Shop					
676	Mini Valoth	Promo Shop					
677	Artist Showcase: Aranx	Normal Shop					
678	Starsinc Merge	Merge Shop					
679	Legendary Hero	Badge Shop					
680	Artist Showcase: Solrac	Normal Shop					
681	Sybil's Merge	Merge Shop					
682	Aeneas' Merge	Merge Shop					
683	Combo Breaker	Promo Shop					
684	MechQuest Finale	Normal Shop					
685	Fantastic Lore	Rare Shop					
686	Summer Blockbuster	Rare Shop					
687	July Moglin Pets	Rare Shop					
688	Enchanted Chess Shop	Normal Shop					
689	Maedoc's Shop	Reputation Shop					
690	Warlic's Shop	Reputation Shop					
691	Muerdan's Shop	Reputation Shop					
692	Spellcraft Shop	Reputation Shop					
693	Arcane Quill shop	AC Shop					
694	Archfiend Class	AC Shop					
695	Archfiend Merge	Merge Shop					
696	Base ENH shop	Enhancement Shop					
697	Ven Showcase	Normal Shop					
698	Swordhaven Armory	Normal Shop					
699	Gjappy Birthday Shop	Rare Shop					
700	Swordhaven Weapons	Normal Shop					
701	Swordhaven Pets	Member Shop					
702	Swordhaven Rep	Reputation Shop					
703	Artist Showcase: Roroth	Normal Shop					
704	Shadow Sorcerer	Badge Shop					
705	Brutalcorn Shop	Rare Shop					
706	Shadow Sorceror LTS	Rare Shop					
707	Fortune Tickets	Rare Shop					
708	DragonFable T-shirt	Promo Shop					
709	Doom Preview 	Preview Shop					
710	Archives	Normal Shop					
711	Aranx Birthday	Seasonal Shop					
712	Doom Merge	Merge Shop					
713	Artix Attacks T-Shirt	Promo Shop					
714	Chaos Eye T-Shirt	Promo Shop					
715	Pre-Event 13Th Shop	Rare Shop					
716	Treasure Hoard	Normal Shop					
717	Brightoak	Rare Shop					
718	Chika Birthday Shop	Rare Shop					
719	Gustav Merge	Merge shop					
720	Undead Legion Naval	Merge shop					
721	Destiny Merge	Merge shop					
722	Distressed DF Shirt	Promo Shop					
723	Naval Top Hat Merge	Merge shop					
724	Naval Merge Resource	Normal Shop					
725	Starsinc Rares	Rare Shop					
726	Wedding Presents	normal shop					
727	Fall seasonal shop	Item Shop					
728	Fall Seasonal Preview	Preview Shop					
729	Zoshi's Featured Artist	Normal Shop					
730	AdventureQuest Gear	Normal Shop					
731	DragonFable Gear	Normal Shop					
732	MechQuest Gear	Normal Shop					
733	AQWorlds BattleCon Gear	Normal Shop					
734	EpicDuel Gear	Normal Shop					
735	HeroSmash Gear	Normal Shop					
736	OverSoul Gear	Normal Shop					
737	BattleGems Gear	Normal Shop					
738	EbilCorp Gear	Normal Shop					
739	HeroMart Gear	Normal Shop					
740	Beleen's Balloons	Normal Shop					
741	Food Court	AC Shop					
742	1st Upholder	Badge shop					
743	2nd Upholder	Badge shop					
744	3rd Upholder	Badge shop					
745	Founder Shop	Badge shop					
746	5th Upholder	Badge shop					
747	Sweetest Helm	Rare Shop					
748	Blood Shadowcaster	Badge shop					
749	BattleMage	Normal Shop					
750	Dragon's Bane Gear	Normal Shop					
751	Battlecon Cosplay Shop	Rare Shop					
752	Clawg Pet	Promo Shop					
753	Artis Showcase: Ghost	Normal Shop					
754	Artis Showcase: Arklen	Normal Shop					
755	Secret Lab Merge	Merge Shop					
756	Dragon Shinobi Merge	Merge Shop					
757	Dragon Shinobi Class	Rare Shop					
758	Lab Gear	Normal Shop					
759	Oracle Class 	Rare Shop					
760	Guilds Halls PTR Shop	Badge shop	House Shop				
761		No Shop					
762	Lvl 50* Healer	Enhancement Shop					
763	Lvl 50* Lucky Enh	Enhancement Shop					
764	Lvl 50* Spellbreaker Enh	Enhancement Shop					
765	Lvl 50* Wizard Enh	Enhancement Shop					
766	Lvl 50* Hybrid Enh	Enhancement Shop					
767	Lvl 50* Thief Enh	Enhancement Shop					
768	Lvl 50* Fighter Enh	Enhancement Shop					
769	BrideandGroom	Merge Shop					
770	Mog-GLOW-ween Merge	Merge Shop					
771	2014 Calendar	Promo Shop					
772	Artix Logo T-shirt	Promo Shop					
773	Thor's Day Shop	Item Shop					
774	Shriekward Potions	Normal Shop					
775	Memet's Birthday Shop!	Rare Shop					
776	Chaos Shop	Reputation Shop					
777	Journey Shop	Staff Shop					
778	Doctor Whoooo	Rare Shop					
779	Zardis House	Rare Shop	House Shop				
780	Black Friday Shop	Rare Shop					
781	Cyber Monday	Seasonal Shop					
782	Turdracolich Rares	Seasonal Shop					
783	Shadowspawn Warrior	Badge shop					
784	Winter Shop	Item Shop					
785	Spring Preview Shop	Preview Shop					
786	Winter Token Shop	Item Shop					
787	Bright Fortress	Badge shop	LQS				
788	Artix Wedding Merge	Merge Shop					
789	Glacial Warlord	Badge shop					
790	Glacial Warlord Armor	Rare Shop					
791	Darkwinter Good Merge	Rare Shop	Merge Shop				
792	Darkwinter Evil Merge	Rare Shop	Merge Shop				
793	Necrotic Sword of Doom	Merge Shop					
794	J6 Space	Rare Shop					
795	"Mirror Realm Invasion Merge
"	Merge Shop	Member Shop				
796	Data Elemental Combo	Badge shop					
797	Love Caster Class	Rare Shop					
798	Ash Birthday	Rare Shop					
799	Countdown to New Year	Seasonal Shop					
800	Darkwinter War Shop	Rare Shop					
801	Brightoak Reputation	Reputation Shop					
802	Ulfgar's Shop	Seasonal Shop					
803	Shadowfall Defense	Merge Shop					
804	Shadowfall Commander	Badge shop					
805	Bitterfrost Dragon	Badge shop					
806	Ultra Elemental Capes	AC Shop					
807	Legendary Ultra Elemental Capes	Member Shop					
808	Frost Lich	Staff Shop					
809	Legendary Ultra Elemental Class	Item Shop					
810	Ultra Elemental Class	Item Shop					
811	Ultra Chaos Gear	AC Shop					
812	Legendairy Ultra Gear	Item Shop					
813	Nulgath Birthday	Seasonal Shop					
814	Fae's Shop	Member Shop					
815	Fable Forest Merge	Merge Shop	Member Shop				
816	Battle Gems Pet	Item Shop					
817	Battle Gems Shop	Rare Shop					
818	Member Class Shop	Member Shop					
819	Yokai New Year Rares	Rare Shop					
820		No Shop					
821	Immortal Legion Poster	Promo Shop					
822	Level 10+ Champion	Merge Shop					
823	Level 20+ Champion	Merge Shop					
824	Level 30+ Champion	Merge Shop					
825	Level 40+ Champion	Merge Shop					
826	Level 50+ Champion	Merge Shop					
827	Blockhead Shop	Rare Shop					
828	Zoshi Birthday	Rare Shop					
829	BattleGems Founder	Badge Shop					
830	Beleen's Dream Island Shop	Normal Shop					
831	August Rares	Rare Shop					
832	Good Alliance Gear	Reputation Shop					
833		No Shop					
834	Evil Alliance Shop	Reputation Shop					
835	Timedragon Warrior	Badge Shop					
836	Timedragon Warrior Plus	Badge Shop					
837	Timedragon Warrior Ultra	Badge Shop					
838	Greywolf Commander	Badge shop					
839	Dage's Birthday Merge	Seasonal Shop	Merge Shop				
840	Zack's Shop	Rare Shop					
841	Artix's Mug	Promo Shop					
842	Ebilcorp Mug	Promo Shop					
843	Dage's Birthday Altar	Rare Shop	Reputation Shop				
844	BattleGems Game Gear	Seasonal Shop	Merge Shop				
845	Evolved Dark Caster Class	Rare Shop					
846	Noob Shop	Normal Shop					
847	Ravenloss Reward	Normal Shop					
848	Ravenloss War Rewards	Normal Shop					
849	Double Mug	Promo Shop					
850	Arachnomancer Shop	AC Shop					
851	Ravenloss War Merge	Merge Shop					
852	Dichromatic Shop	Rare Shop					
853	Bellybutton Armor	Rare Shop					
854	Verde Warrior	Promo Shop					
855	Intiero Warrior	Promo Shop					
856	Cave Loot	Normal Shop					
857	Dragon Morph	Rare Shop					
858	Monster Hunter Shop	Merge Shop					
859	WolfHound Warrior	Badge shop					
860	WolfHound Plus	Badge shop					
861	WolfHound Ultra	Badge shop					
862	Fantasy Hero Pass	Badge shop					
863	Il'Lar's Armors 	Reputation Shop					
864	Aniya's Weapons	Reputation Shop					
865	Phelan's Brew	Normal Shop					
866	May 4th	Rare Shop					
867	Shav's Riel's Helms	Reputation Shop					
868	Smothers's Capes	Reputation Shop					
869	Golden Forest Warrior	Rare Shop					
870	Glacier Lord Set	Badge shop	LQS				
871	Lavastorm Lord Set	Badge shop	LQS				
872	Dragon Salvation Shop	Badge shop	LQS				
873	Shadowdragon Set	Badge shop	LQS				
874	Necronaut Rares	Rare Shop					
875	Randor Birthday	Seasonal Shop					
876	Dragon Emperor 1	Badge Shop					
877	Dragon Emperor 2	Badge Shop					
878	Dragon Emperor	Badge shop					
879	Fell Beast Shop	Merge Shop					
880	Escherion Print Bonus	Promo Shop					
881	Bright Fortress	Badge shop	House Shop				
882	Escherion Print	Promo Shop					
883	X-Treme Mutant	Rare Shop					
884	Hyperspace Shop	Item Shop					
885	Galatic Shop	Item Shop					
886	Blackhole Shop	Item Shop					
887	Chaos Lab Merge	Merge Shop					
888	OMGZilla	Rare Shop					
889	Razorclaw Merge	Merge Shop					
890	Animated Item Shop	Normal Shop					
891	Chaos Slayer Class	Normal Shop					
892	Thirdspell Merge	Merge Shop					
893	Chaos Slayer AC Shop	AC Shop					
894	Gift Certificate	Promo Shop					
895	Drakath Print	Promo Shop					
896	Chaotic Friday the 13th	Rare Shop					
897	Willowcreek War Chest	Item Shop					
898	Warlock Grand Master	Badge shop					
899	Forsaken Warrior	Badge Shop					
900	Warlock Adept	Badge Shop					
901	Shadow Warlock	Badge shop					
902	Captain Swordhaven	Promo Shop					
903	Paragon of Light	Badge shop					
904	Dungeon Treasure Chest	Merge Shop					
905	Guild Launch	Badge shop					
906	World War Lore Merge	Merge Shop					
907	Bev's Wig Shop	Normal Shop					
908	Chaos Paragon	Badge shop					
909	Eternal Warrior	Badge shop					
910	Chaos Conqueror	Badge shop					
911	Blazing Chaos	Badge shop					
912	Nine Tentatails	Badge shop					
913	50% Alliance Pvp Shop	Normal Shop					
914	50% Chaos Pvp Shop	Normal Shop					
915	1 Month Loyalty	Badge shop					
916	2 Months Loyalty	Badge shop					
917	3 Months Loyalty	Badge shop					
918	6 Months Loyalty	Badge shop					
919	9 Months Loyalty	Badge shop					
920	12 Months Loyalty	Badge shop					
921	15 Months Loyalty	Badge shop					
922	2 Years Loyalty	Badge shop					
923	3 Years Loyalty	Badge shop					
924	4 Years Loyalty	Badge shop					
925	5 Years Loyalty	Badge shop					
926	500 AC Loyalty	Badge shop					
927	2000 AC Loyalty	Badge shop					
928	12000 AC Loyalty	Badge shop					
929	25000 AC Loyalty	Badge shop					
930	50000 AC Loyalty	Badge shop					
931	100000 AC Loyalty	Badge shop					
932	200000 AC Loyalty	Badge shop					
933	1 Week Anniversary	Badge shop					
934	1 Month Anniversary	Badge shop					
935	3 Months Anniversary	Badge shop					
936	6 Months Anniversary	Badge shop					
937	12 Months Anniversary	Badge shop					
938	15 Months Anniversary	Badge shop					
939	2 Year Anniversary	Badge shop					
940	3 Year Anniversary	Badge shop					
941	4 Year Anniversary	Badge shop					
942	5 Year Anniversary	Badge shop					
943	6 Year Anniversary	Badge shop					
944	Prologue Complete	Badge shop					
945	Shadowfall Complete	Badge shop					
946	Chiral Valley Champion	Badge shop					
947	Dwarfhold Champion	Badge shop					
948	Yokai Champion	Badge shop					
949	Darkovia Champion	Badge shop					
950	Mythsong Champion	Badge shop					
951	Arcangrove Champion	Badge shop					
952	Sandsea Champion	Badge shop					
953	DragonSlayer Trophy	Item Shop					
954	Annihilator of Battleon	Normal Shop					
955	Defender of Battleon	Normal Shop					
956	Alden's Pack	Staff Shop					
957	Tower Helms	Staff Shop					
958	Panda Hoodie	Promo Shop					
959	Monthly Member Shop	Member Shop					
960	Blockbuster Battle Shop	Rare Shop					
961	Featured Artist LQS Memet	Badge shop					
962	DragonFlight	Item Shop					
963	Orange Drellie	Promo Shop					
964	Dreadmaw Merge	Merge Shop					
965	Featured Artist LQS Nulgath (AC)	Badge shop					
966	Chaos Champion Prime	Item Shop					
967	Zorbak Orange Drellie	Promo Shop					
968	Chaos Lord Items	Promo Shop	Item Shop				
969	Shadowscythe Gryphon	Badge shop	LQS				
970	Shadowscythe Rider	Badge shop	LQS				
971	DreadLeopard Gryphon	Badge shop	LQS				
972	DreadLeopard Gryphon Rider	Badge shop	LQS				
973	Bright Gryphon	Badge shop	LQS				
974	Bright GryphonRider	Badge shop	LQS				
975	GryphonRider Guards	Badge shop	LQS				
976	Beastmaster Class	Reputation Shop	Member Shop				
977	13 Lord of Chaos Poster Shop	Promo Shop	House Shop				
978	AE Panel Survivor	Promo Shop					
979	Beastmaster AC Shop	Member Shop					
980	Vokun Merge	Merge Shop					
981	Bladelord AC Shop	Rare Shop					
982	Waves of Wrath	Rare Shop					
983	Deep Terror Blade	Rare Shop					
984	Barnacle's Bandanas	Merge Shop					
985	Preen's Pet Shop	Normal Shop					
986	6th Upholder	Badge shop					
987	Bloodtusk Champion	Badge shop					
988	Trolls Ally	Staff Shop					
989	TheSpan Champion	Badge shop					
990	ThunderForge Champion	Badge shop					
991	Swordhaven Champion	Badge shop					
992	Mirror Realm Champion	Badge shop					
993	DoomSkull Champion	Badge shop					
994	Drakath's Armor	Badge shop	Item Shop				
995	Haunted Muffins	Rare Shop					
996	Artifact Hunter Merge	Merge Shop					
997	Amazons Accessories	Normal Shop					
998	Dread's Weapons	Merge Shop					
999	Throne Depot	House Shop					
1000		No Shop					
1001	OmniKnight	Badge shop					
1002	Artifact Merge	Merge Shop					
1003	Blood Of Cerberus	Rare Shop					
1004	Vampire War Merge	Merge Shop					
1005	Dage's Death Rider	Rare Shop					
1006	Mirror Realm Rares	Rare Shop					
1007	House of Usher Shop	Seasonal Shop					
1008	Cask of Amoglinado Shop	Seasonal Shop					
1009	The Wyvern Shop	Seasonal Shop					
1010	Starship Paladin Shop	Normal Shop					
1011	DeathRider Key	Item Shop					
1012	Parked DeathRider	House Shop					
1013	Dark DragonMaster	Badge shop					
1014	Package Preview	Preview Shop					
1015	5 Years Loyalty House Shop	Badge shop	House Shop				
1016	Legion T-Shirt	Promo Shop					
1017	Paladin T-Shirt	Promo Shop					
1018	Legion Paladin	Promo Shop					
1019	2015 Calendar	Promo Shop					
1020	BrightFall Commander	Badge shop					
1021	Daily Treasure Shop	Staff Shop					
1022	Draconic DmK Tier 1	Badge shop					
1023	Draconic DmK Tier 2	Badge shop					
1024	Draconic DmK Tier 3	Badge shop					
1025	Extinction Games Merge	Merge Shop					
1026	Featured Artist LQS Nulgath (Legend)	Badge shop					
1027	J6 Birthday	Rare Shop					
1028	J6 Birthday Merge	Rare Shop	Merge Shop				
1029	2k AC Preview	Preview Shop					
1030	5k AC Preview	Preview Shop					
1031	12k AC Preview	Preview Shop					
1032	Ultra OmniKnight Blade	Staff Shop					
1033	Sheng Long Guardian	Badge shop					
1034	Sheng Chi Guardian	Badge shop					
1035	Dage's Underworld House	Badge shop	House Shop				
1036	Dragon's Altar House	Badge shop	House Shop				
1037	Draconis Pets	Badge shop					
1038	AQ:Dragons Founder	Badge shop					
1039	Ectocave Merge	Merge Shop					
1040	Fallenfire Raffle	Rare Shop					
1041	Featured Artist LQS Dage	Badge shop					
1042	Legion Recruit Merge Shop	Promo Shop	Merge Shop				
1043	Countdown to Black Friday	Rare Shop					
1044	FallenFire Raffle Token	Rare Shop					
1045	Shadow Legion Vampire	Merge Shop					
1046	BoneBreaker	Badge shop					
1047	Marvel Spiderman	Promo Shop					
1048	Marvel Ironman	Promo Shop					
1049	IceRise Past	Seasonal Shop	Member Shop				
1050	Tundra Stalker	Rare Shop					
1051	Bonebreaker Merge	Merge Shop					
1052	BoneBreaker Exclusive	Badge shop					
1053	Winter's Heart Merge	Seasonal Shop	Merge Shop				
1054	Sora's Birthday	Seasonal Shop					
1055	Tower of Winds Merge	Merge Shop					
1056	Cryomancer Class	Merge Shop					
1057	Dage Frostval Armor LQS	Badge shop					
1058	Ice Fortress House Shop	Badge shop	House Shop				
1059	Santa Nulgath Battle Pet	Badge shop					
1060	Frostval Gear Set	Badge shop					
1061	Dark Ice Cryomancer	Member Shop					
1062	Eagle's Reach Armory	Merge Shop					
1063	Holiday Zorbak	Promo Shop					
1064	AdventureCoin Shop	AC Shop					
1065	Showcase Shop	Normal Shop					
1066	Golden Gladiator Tier 1	Badge shop					
1067	Golden Gladiator Tier 2	Badge shop					
1068	Golden Gladiator Tier 3	Badge shop					
1069	Golden Gladiator Tier 4	Badge shop					
1070	Cysero's Secret Rares	Rare Shop					
1071	Za'nar Merge	Merge Shop					
1072	First Weapon	Normal Shop					
1073	Oaklore Enhance	Enhancement Shop					
1074	Za'nar Book	Promo Shop					
1075	J6: Evolution	Promo Shop					
1076	J6: Bundle	Promo Shop					
1077	Za'nar Book House Shop	Promo Shop	House Shop				
1078	Oaklore Potion	Normal Shop					
1079	Void Defender LTS	Rare Shop					
1080	Oaklore Weapons	Normal Shop					
1081	Moglin Pets	Merge Shop					
1082	Northpointe Weapons	Reputation Shop					
1083	Northpointe Accessories	Reputation Shop					
1084	Northpointe Pets	Reputation Shop	Member Shop				
1085	Northpointe Magic Shop	Reputation Shop					
1086	Northpointe Shop	Reputation Shop					
1087	Good Recruiter	Reputation Shop					
1088	Evil Recruiter	Reputation Shop					
1089	Chaos Recruiter	Reputation Shop					
1090	Unlucky Love Shop	Seasonal Shop					
1091	Embersea Pets	Member Shop					
1092	Embersea Gear	Reputation Shop					
1093	Embersea Rep	Reputation Shop					
1094	Northpointe Dye Shop	Merge Shop					
1095	Fyreborn Tier 1	Badge shop					
1096	Fyreborn Tier 2	Badge shop					
1097	Fyreborn Tier 3	Badge shop					
1098	Brightoak Gear	Normal Shop					
1099	Fyreborn AC	Rare Shop					
1100	Embersea Healing	Normal Shop					
1101	Pyrewatch Armory	Normal Shop					
1102	Dark Hunt Merge Shop	Merge Shop					
1103	Storm Cache	Merge Shop					
1104	Dage's House Shop	House Shop					
1105	Guardian Tower Memorial Shop	House Shop					
1106	Legion DoomKnight Merge	Merge Shop					
1107	September Holiday	Rare Shop					
1108	Brimstone	Member Shop					
1109	1 month Centaur	Badge shop					
1110	3 months Centaur	Badge shop					
1111	6 months Centaur	Badge shop					
1112	12 months Centaur	Badge shop					
1113	Grovebreaker Rares	Rare Shop					
1114	Undead Assault	Rare Shop					
1115	Zazul's House Shop	House Shop					
1116	Dark Carnival Merge	Merge Shop					
1117	Dragonspire Merge	Merge Shop					
1118	Shadowspire Merge	Merge Shop					
1119	Queenspire Merge	Merge Shop					
1120	Shadowflame Warrior	Badge shop					
1121	Shadowflame Champion	Badge shop					
1122	Shadowflame Champion Merge	Badge shop	Merge Shop				
1123	Raptor Rider	Rare Shop					
1124	Forgotten Tombs	Merge Shop					
1125	Feverfew Merge	Merge Shop					
1126	Nightmare	Member Shop					
1127	Brightoak Pets	Normal Shop					
1128	Twilight's Arcana	Rare Shop					
1129	Armor of Awe	Merge Shop					
1130	Awe Passes	AC Shop					
1131	AQW Dragon Cape	Item Shop					
1132	Necromancer AC pkg	Badge shop					
1133	Seraphic Gear	Normal Shop					
1134	Bright New Hero	Badge shop					
1135	Obsidia Necromancer	Rare Shop					
1136	Starsword Rares	Rare Shop					
1137	Draden's Merge Shop	Merge Shop					
1138	FireForge Shop	Merge Shop					
1139	Blaze Binder AC Class	AC Shop					
1140	Blaze Binder Rep Class	Normal Shop					
1141	AC Pyromancer Sigils	Item Shop					
1142	Pyromancer Sigils	Item Shop					
1143	Lavarun Merge	Merge Shop					
1144	Dark Palace Merge	Merge Shop					
1145	Shadowflame Warrior Merge	Badge shop	Merge Shop				
1146	Celestial Rares	Rare Shop					
1147	1st Upholder Merge	Merge Shop					
1148	2nd Upholder Merge	Merge Shop					
1149	3rd Upholder Merge	Merge Shop					
1150	4th Upholder Merge	Merge Shop					
1151	5th Upholder Merge	Merge Shop					
1152	6th Upholder Merge	Merge Shop					
1153	7th Upholder Merge	Merge Shop					
1154	Starsword Merge	Merge Shop					
1155	Pirate Adventure House	Rare Shop	House Shop				
1156	7th Upholder	Badge shop					
1157		No Shop					
1158	6 Year Upgrade Badge	Badge shop					
1159	7 Years Played Badge	Badge shop					
1160	300000 AC Loyalty	Badge shop	House Shop				
1161	7th Birthday Rares	Rare Shop					
1162	BattleCon Gear	Merge Shop					
1163	Dark Loremaster	Merge Shop					
1164	Evo Pumpkin Lord Class	Seasonal Shop					
1165	13th Anniversary Rares	Rare Shop					
1166	13th Anniversary Merge	Merge Shop					
1167	13th Anniversary Class	Staff Shop					
1168	Undead Assault Badge	Badge shop					
1169	The Hoard Merge	Merge Shop					
1170	Dragon Samurai AC Package	Badge shop					
1171	Horde Zombie Slayer Badge	Badge shop					
1172	Cruxshadows Merge	Merge Shop					
1173	Cruxshadows Rares	Rare Shop					
1174	CruxShadows VIP Shop	Member Shop					
1175	Moonlight Khopesh	Badge shop	Merge Shop				
1176	Mogloween Seasonal	Seasonal Shop					
1177	November LTS	Rare Shop					
1178	Rabbit Merge	Merge Shop					
1179	Fox Merge	Merge Shop					
1180	Owl Merge	Merge Shop					
1181	12 Month Swordhaven Royalty	Badge shop					
1182	12k Lord of Doom Shop	Badge shop					
1183	5k Lord of Doom Shop	Badge shop					
1184	2k Lord of Doom Shop	Badge shop					
1185	13th Friday Rares	Rare Shop					
1186	13th Friday Merge	Merge Shop					
1187	2016 Calendar	Promo Shop					
1188	Elfhame Merge	Merge Shop					
1189	Memet's Birthday Merge!	Rare Shop	Merge Shop				
1190	Feast of Fear Merge	Seasonal Shop	Merge Shop				
1191	Black Friday House Shop	Seasonal Shop	House Shop				
1192	Cyber Monday House Shop	Seasonal Shop	House Shop				
1193	AU-some Gold Shop	Normal Shop					
1194	DarkHeart Merge	Merge Shop					
1195	Northlands Wolf Rider	Badge shop					
1196	Cryostorm Wolf Rider	Badge shop					
1197	Cryostorm Merge Shop	Merge Shop					
1198	New Year Rares	Rare Shop					
1199	Glacial Commander LQS	Badge shop					
1200	Ice Realm Portal House Shop	Badge shop	House Shop		Category	Explain on Primairy Category	Explain on Secondary Category
1201	Doom Claws LQS	Badge shop			AC Shop	Shop containing Only AC items, permanently placed in game.	Besides its primary category this shop Only contains AC items.
1202	Shatterglass Pack LQS	Badge shop			Badge shop	Shop that is unlocked in the Book of Lore at Achievement or Other Badges.	N/A (Badge shop label is always primairy)
1203	New Year Merge	Merge Shop			Broken Shop	This shop is taken out game and can not be loaded anymore.	N/A (Broken label is always primairy)
1204	Knight Commander Tier 1	Badge shop			Enhancement Shop	Shop containing Enhancements, permanently placed in game on an NPC or game menu.	Besides its primary category this shop Only contains Enhancements
1205	Knight Commander Tier 2	Badge shop			Guild Shop	This shop contains guild items	N/A (Guild label is always primary)
1206	Nation Merge	Merge Shop			House Shop	Shop containing Only house items, permanently placed in game.	Besides its primary category this shop Only contains House items
1207	Legion Merge	Merge Shop			Item Shop	Shop that is Only load-able or unlockable by owning/equipping a certain item.	Besides its primary category this shop is Only unlockable via an item.
1208	Shadowscythe Merge	Merge Shop			Member Shop	Shop containing Only Member items, permanently placed in game.	Besides its primary category this shop is Only containing member items.
1209	Assassin's Creed LTS	Rare Shop			Merge Shop	This shop solely contains merge-items, and is permanently available in game.	Besides its primary category this shop Only contains merge items.
1210	StoneCrusher Class Merge Shop	Merge Shop			No Shop	This shop ID is empty, don't keep trying.	N/A (No shop label is always primary)
1211	Dirtlicker's Shop	Merge Shop			Normal Shop	This shop is still in-game and does contain both non-member and/or member and/or AC items.	N/A (Normal shop label is always primary)
1212	Dwobo's Shop	Merge Shop			Preview Shop	This shop Only contains item previews might have gone rare over time.	N/A (Preview shop is always primary)
1213	Chest Shop	Merge Shop			Promo Shop	Shop that is unlocked in the Book of Lore at HeroMart Badges.	N/A (Promo shop is always primary)
1214	January Holiday Shop	Rare Shop			Rare Shop	This shop is/or will be rare and not in-game anymore but can still be accessed by staff.	N/A (Rare shop label is always primary,)
1215	Feburary Rares Shop	Rare Shop			Reputation Shop	This shop Only or mainly contains items that are buyable at owning certain reputation for a faction.	Besides its primary category this shop Only contains reputation bound items.
1216	Parades	Seasonal Shop			Seasonal Shop	This shop is Only in-game for a certain amount of time each year.	N/A (seasonal shop label is always primary)
1217	Love Locked Merge	Seasonal Shop	Merge Shop		Staff Shop	This shop is Only for game staff.	N/A (Staff Shop label is always primary)
1218	Flock Shop	Merge Shop			Additional Comments		
1219	Dreadrock Rep	Reputation Shop			LQS	This is or was a Limited Time shop.	
1220	Dreadrock Gear	Normal Shop			No Buying!	Do not buy anything from this shop as it will break your character.	
1221	Dreadrock Pet	Normal Shop			AC/Member	This shop is containing Only both member and AC items	
1222	Darkblood Tier 2	Badge shop			Merge House Shop	This shop is both Merge shop and a House Shop	
1223	Darkblood Tier 1	Badge shop					
1224	Dreadrock Weapons	Normal Shop					
1225	Heromart Crystals	Promo Shop	Merge Shop				
1226	BioBeasts Install Shop	Preview Shop					
1227	BioBeasts Merge	Merge Shop					
1228	J6s Envy Shop	Merge Shop					
1229	Aegis Rep Shop	Reputation Shop					
1230	Aegis Gear Shop	Normal Shop					
1231	Aegis Pet Shop	Normal Shop					
1232	Laken Birthday	Seasonal Shop					
1233	Luckdragon Merge	Merge Shop					
1234	Portal War Reward	Staff Shop					
1235	Arcane Dark Caster Merge	Merge Shop					
1236	Grenstory Merge	Seasonal Shop	Merge Shop				
1237	VoidCaster Tier 1	Badge Shop					
1238	VoidCaster Tier 2	Badge shop					
1239	April Fools 3D Shop	Rare Shop					
1240	Crystal Bright Merge	Merge Shop					
1241	April Rares 2016	Rare Shop					
1242	Bone Castle Merge	Merge Shop					
1243	BoneCastle Tower Merge	Merge Shop					
1244	Paradox Portal War Merge	Merge Shop					
1245	Abyssal Angel Class	Rare Shop					
1246	Tempus Mori Low	Badge shop					
1247	Tempus Mori High	Badge shop					
1248	Paradox Portal Merge	Badge shop					
1249	Friday the 13th	Rare Shop					
1250	Lore Trek Merge	Merge Shop					
1251	Tachyon Merge	Merge Shop					
1252		No Shop					
1253	Tachyon Rare Gear	Rare Shop					
1254	Ziri's Magical Rares	Rare Shop					
1255	Ziri's Shop	Normal Shop					
1256	House Shop Test	Staff Shop					
1257	Bacon Cat Force Communicator	Member Shop					
1258	Galatic Defender	Badge Shop					
1259	Galatic Commander	Badge Shop					
1260	BaconCat Rep	Reputation Shop					
1261	Death Pit Arena Rep	Reputation Shop	Merge Shop				
